step,voice,note,length,velocity
1312,4,67,10,64
1318,0,36,2,92
1320,1,74,3,104
1322,0,36,2,92
1322,2,60,4,64
1322,3,64,4,64
1322,4,67,4,64
1324,1,72,3,104
1326,0,36,2,92
1328,0,36,4,112
1328,1,67,6,104
1334,0,36,2,92
1336,1,69,3,104
1338,0,36,2,92
1338,2,60,4,64
1338,3,64,4,64
1338,4,67,4,64
1340,1,72,3,104
1342,0,48,2,92
1344,0,38,4,112
1344,1,77,6,104
1344,2,62,10,64
1344,3,65,10,64
1344,4,69,10,64
1350,0,38,2,92
1352,1,76,2,104
1354,0,38,2,92
1354,1,74,5,104
1354,2,62,4,64
1354,3,65,4,64
1354,4,69,4,64
1358,0,38,2,92
1360,0,38,4,112
1360,1,72,3,104
1364,1,69,3,104
1366,0,38,2,92
1368,1,74,6,104
1370,0,38,2,92
1370,2,62,4,64
1370,3,65,4,64
1370,4,69,4,64
1374,0,50,2,92
1376,0,34,4,112
1376,1,77,6,104
1376,2,62,10,64
1376,3,65,10,64
1376,4,70,10,64
1382,0,34,2,92
1384,1,74,3,104
1386,0,34,2,92
1386,2,62,4,64
1386,3,65,4,64
1386,4,70,4,64
1388,1,70,3,104
1390,0,34,2,92
1392,0,34,4,112
1392,1,69,3,104
1396,1,70,3,104
1398,0,34,2,92
1400,1,74,6,104
1402,0,34,2,92
1402,2,62,4,64
1402,3,65,4,64
1402,4,70,4,64
1406,0,46,2,92
1408,0,38,4,112
1408,2,62,10,48
1408,3,65,10,48
1408,4,69,10,48
1408,5,69,3,92
1412,5,74,5,92
1414,0,38,2,92
1418,0,38,2,92
1418,5,77,2,92
1420,5,76,2,92
1422,0,38,2,92
1422,5,74,2,92
1424,0,38,4,112
1424,5,72,3,92
1428,5,69,7,92
1430,0,38,2,92
1434,0,38,2,92
1438,0,50,2,92
1438,5,65,2,92
1440,0,34,4,112
1440,2,62,10,48
1440,3,65,10,48
1440,4,70,10,48
1440,5,65,3,92
1444,5,70,5,92
1446,0,34,2,92
1450,0,34,2,92
1450,5,74,2,92
1452,5,72,2,92
1454,0,34,2,92
1454,5,70,2,92
1456,0,34,4,112
1456,5,69,3,92
1460,5,65,7,92
1462,0,34,2,92
1466,0,34,2,92
1470,0,46,2,92
1472,2,60,15,58
1472,3,65,15,58
1472,4,69,15,58
1472,5,65,14,88
1488,2,62,15,58
1488,3,65,15,58
1488,4,70,15,58
1488,5,70,14,88
1504,2,60,15,58
1504,3,64,15,58
1504,4,67,15,58
1504,5,72,14,88
1520,2,62,15,58
1520,3,65,15,58
1520,4,69,15,58
1520,5,74,14,88
