
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=46.1 bar=30 sec=3 dma=1 interp=1 | render ms 7.41/8.13/9.19 | fps 59.7 | spans 336 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2917 cy/pump 41.84 Mcy/s 1743 cy/sample | pump worst 151.70 us peak 266.07 us | AHASH s=1104000 7c05f65f | last_us prep=4 world=9187 lights=903 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=47.1 bar=31 sec=3 dma=1 interp=1 | render ms 9.14/10.43/12.08 | fps 59.7 | spans 482 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2902 cy/pump 41.62 Mcy/s 1734 cy/sample | pump worst 154.04 us peak 266.07 us | AHASH s=1128000 a2f6259f | last_us prep=4 world=10457 lights=170 board=0 other=1 shot=6 world_id=4 lights_n=4
T t=48.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.69/8.38/10.46 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2931 cy/pump 42.03 Mcy/s 1751 cy/sample | pump worst 287.39 us peak 287.39 us | AHASH s=1152000 2b3d3eb8 | last_us prep=13 world=4687 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=49.1 bar=32 sec=4 dma=1 interp=1 | render ms 4.53/4.77/5.17 | fps 59.7 | spans 1220 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2900 cy/pump 41.59 Mcy/s 1733 cy/sample | pump worst 231.31 us peak 287.39 us | AHASH s=1176000 b541f8e7 | last_us prep=13 world=4617 lights=0 board=0 other=1 shot=2 world_id=5 lights_n=0
T t=50.1 bar=33 sec=4 dma=1 interp=1 | render ms 4.61/4.89/5.33 | fps 59.7 | spans 1221 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2876 cy/pump 41.24 Mcy/s 1718 cy/sample | pump worst 242.00 us peak 287.39 us | AHASH s=1200000 b3bf79ca | last_us prep=13 world=5122 lights=404 board=0 other=2 shot=2 world_id=5 lights_n=1
T t=51.1 bar=34 sec=4 dma=1 interp=1 | render ms 3.16/4.56/5.39 | fps 59.7 | spans 957 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2898 cy/pump 41.57 Mcy/s 1732 cy/sample | pump worst 225.37 us peak 287.39 us | AHASH s=1224000 77a14471 | last_us prep=14 world=3219 lights=14 board=0 other=2 shot=3 world_id=5 lights_n=1
T t=52.2 bar=34 sec=4 dma=1 interp=1 | render ms 3.16/3.27/3.37 | fps 59.7 | spans 1076 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2870 cy/pump 41.16 Mcy/s 1715 cy/sample | pump worst 205.75 us peak 287.39 us | AHASH s=1248000 bf4cfcbe | last_us prep=13 world=3208 lights=42 board=0 other=3 shot=3 world_id=5 lights_n=1
T t=53.2 bar=35 sec=4 dma=1 interp=1 | render ms 3.11/3.23/3.42 | fps 59.7 | spans 988 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2851 cy/pump 40.89 Mcy/s 1703 cy/sample | pump worst 214.50 us peak 287.39 us | AHASH s=1272000 22d2540f | last_us prep=13 world=3153 lights=0 board=0 other=2 shot=3 world_id=5 lights_n=0
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.10/3.87/6.92 | fps 59.7 | spans 1294 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2944 cy/pump 42.22 Mcy/s 1759 cy/sample | pump worst 243.53 us peak 287.39 us | AHASH s=1296000 5ef3448e | last_us prep=14 world=6861 lights=2105 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.24/7.58/8.40 | fps 59.7 | spans 1295 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2998 cy/pump 43.00 Mcy/s 1791 cy/sample | pump worst 228.88 us peak 287.39 us | AHASH s=1320000 ef9abee1 | last_us prep=14 world=6222 lights=1411 board=0 other=2 shot=2 world_id=5 lights_n=7
T t=56.2 bar=37 sec=4 dma=1 interp=1 | render ms 4.60/5.03/6.31 | fps 59.7 | spans 1222 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2881 cy/pump 41.32 Mcy/s 1722 cy/sample | pump worst 243.49 us peak 287.39 us | AHASH s=1344000 d690114c | last_us prep=13 world=5039 lights=403 board=0 other=2 shot=2 world_id=5 lights_n=1
T t=57.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.71/4.59/5.29 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2887 cy/pump 41.40 Mcy/s 1725 cy/sample | pump worst 221.72 us peak 287.39 us | AHASH s=1368000 01ac249b | last_us prep=15 world=3700 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=58.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.69/3.77/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2851 cy/pump 40.89 Mcy/s 1703 cy/sample | pump worst 214.79 us peak 287.39 us | AHASH s=1392000 522cb3b3 | last_us prep=14 world=3693 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=59.2 bar=39 sec=4 dma=1 interp=1 | render ms 3.69/3.77/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2827 cy/pump 40.54 Mcy/s 1688 cy/sample | pump worst 197.65 us peak 287.39 us | AHASH s=1416000 6cc6ca69 | last_us prep=13 world=3676 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=60.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.70/3.81/4.02 | fps 59.7 | spans 1246 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | pump worst 255.97 us peak 287.39 us | AHASH s=1440000 848a85cd | last_us prep=14 world=3765 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=61.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.71/3.87/4.03 | fps 59.7 | spans 1395 | repeat 1 | over 0 | fill 987 win 987 under 0 | synth 3212 cy/pump 46.06 Mcy/s 1919 cy/sample | pump worst 256.35 us peak 287.39 us | AHASH s=1464000 eda157bc | last_us prep=14 world=3862 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=62.2 bar=41 sec=5 dma=1 interp=1 | render ms 3.73/3.89/4.08 | fps 59.7 | spans 1291 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3200 cy/pump 45.89 Mcy/s 1911 cy/sample | pump worst 252.46 us peak 287.39 us | AHASH s=1488000 c4640e24 | last_us prep=14 world=3802 lights=11 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=63.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.72/3.90/4.06 | fps 59.7 | spans 1242 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3208 cy/pump 46.00 Mcy/s 1917 cy/sample | pump worst 232.63 us peak 287.39 us | AHASH s=1512000 092b46aa | last_us prep=14 world=3725 lights=14 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=64.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.75/3.89/4.05 | fps 59.7 | spans 1410 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3215 cy/pump 46.10 Mcy/s 1921 cy/sample | pump worst 259.11 us peak 287.39 us | AHASH s=1536000 ff24f58e | last_us prep=14 world=3916 lights=61 board=0 other=1 shot=3 world_id=6 lights_n=1
T t=65.2 bar=43 sec=5 dma=1 interp=1 | render ms 3.73/3.88/4.18 | fps 59.7 | spans 1289 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3202 cy/pump 45.92 Mcy/s 1913 cy/sample | pump worst 263.85 us peak 287.39 us | AHASH s=1560000 6b6134c4 | last_us prep=14 world=3776 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=66.2 bar=44 sec=5 dma=1 interp=1 | render ms 3.74/5.27/9.15 | fps 59.7 | spans 898 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3205 cy/pump 45.96 Mcy/s 1915 cy/sample | pump worst 255.10 us peak 287.39 us | AHASH s=1584000 3e708cbd | last_us prep=15 world=8970 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=67.2 bar=44 sec=5 dma=1 interp=1 | render ms 8.92/9.07/9.26 | fps 59.7 | spans 649 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3250 cy/pump 46.61 Mcy/s 1942 cy/sample | pump worst 241.96 us peak 287.39 us | AHASH s=1608000 26549bbb | last_us prep=17 world=8910 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=68.2 bar=45 sec=5 dma=1 interp=1 | render ms 8.90/9.06/9.19 | fps 59.7 | spans 649 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3235 cy/pump 46.39 Mcy/s 1933 cy/sample | pump worst 259.68 us peak 287.39 us | AHASH s=1632000 6118a18c | last_us prep=15 world=8906 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=69.2 bar=46 sec=5 dma=1 interp=1 | render ms 8.91/9.06/9.20 | fps 59.7 | spans 898 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 3235 cy/pump 46.39 Mcy/s 1933 cy/sample | pump worst 251.38 us peak 287.39 us | AHASH s=1656000 2eda5e84 | last_us prep=14 world=8970 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
