SELFTEST accelerator=0 (real SIO registers)
T t=53.2 bar=35 sec=4 dma=1 interp=1 | render ms 3.22/3.33/3.53 | fps 59.7 | spans 988 | repeat 0 | over 0 | fields 3184 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2852 cy/pump 40.90 Mcy/s 1704 cy/sample | pump worst 219.86 us peak 262.52 us | AHASH s=1272000 22c76085 | last_us prep=14 world=3397 lights=0 board=0 other=2 shot=3 world_id=5 lights_n=0
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.22/4.17/7.80 | fps 59.7 | spans 1840 | repeat 0 | over 0 | fields 3244 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2956 cy/pump 42.40 Mcy/s 1766 cy/sample | pump worst 263.71 us peak 263.71 us | AHASH s=1296000 71e877b4 | last_us prep=15 world=7788 lights=1872 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.58/7.84/9.23 | fps 59.7 | spans 1700 | repeat 0 | over 0 | fields 3304 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 3008 cy/pump 43.14 Mcy/s 1798 cy/sample | pump worst 237.52 us peak 263.71 us | AHASH s=1320000 5f73114b | last_us prep=14 world=6813 lights=771 board=0 other=3 shot=2 world_id=5 lights_n=6
T t=56.2 bar=37 sec=4 dma=1 interp=1 | render ms 5.19/5.95/7.04 | fps 59.7 | spans 1556 | repeat 0 | over 0 | fields 3364 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2887 cy/pump 41.40 Mcy/s 1725 cy/sample | pump worst 228.42 us peak 263.71 us | AHASH s=1344000 06b599f8 | last_us prep=15 world=6129 lights=527 board=0 other=3 shot=2 world_id=5 lights_n=3
T t=57.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.91/5.35/6.98 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 3424 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2886 cy/pump 41.39 Mcy/s 1724 cy/sample | pump worst 237.17 us peak 263.71 us | AHASH s=1368000 4a0bd92f | last_us prep=17 world=3962 lights=0 board=0 other=3 shot=4 world_id=5 lights_n=0
T t=58.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.88/3.95/4.01 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 3484 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2845 cy/pump 40.79 Mcy/s 1700 cy/sample | pump worst 191.92 us peak 263.71 us | AHASH s=1392000 114b2f5f | last_us prep=15 world=3984 lights=0 board=0 other=3 shot=4 world_id=5 lights_n=0
T t=59.2 bar=39 sec=4 dma=1 interp=1 | render ms 3.87/3.95/4.04 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 3544 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2822 cy/pump 40.47 Mcy/s 1686 cy/sample | pump worst 228.48 us peak 263.71 us | AHASH s=1416000 dfc65a7d | last_us prep=14 world=3974 lights=0 board=0 other=3 shot=4 world_id=5 lights_n=0
T t=60.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.88/3.97/4.11 | fps 59.7 | spans 1249 | repeat 0 | over 0 | fields 3604 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | pump worst 247.70 us peak 263.71 us | AHASH s=1440000 01ae6231 | last_us prep=15 world=4011 lights=0 board=0 other=3 shot=3 world_id=6 lights_n=0
T t=61.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.87/4.01/4.24 | fps 59.7 | spans 1392 | repeat 0 | over 0 | fields 3664 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 3229 cy/pump 46.30 Mcy/s 1929 cy/sample | pump worst 237.86 us peak 263.71 us | AHASH s=1464000 299c9d10 | last_us prep=16 world=4117 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=62.2 bar=41 sec=5 dma=1 interp=1 | render ms 3.86/4.04/4.22 | fps 59.7 | spans 1290 | repeat 0 | over 0 | fields 3724 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 3208 cy/pump 46.01 Mcy/s 1917 cy/sample | pump worst 232.74 us peak 263.71 us | AHASH s=1488000 95ed0b18 | last_us prep=16 world=4032 lights=10 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=63.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.86/4.04/4.24 | fps 59.7 | spans 1246 | repeat 0 | over 0 | fields 3784 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 3220 cy/pump 46.18 Mcy/s 1924 cy/sample | pump worst 263.71 us peak 263.71 us | AHASH s=1512000 0fd97d56 | last_us prep=14 world=3972 lights=14 board=0 other=3 shot=3 world_id=6 lights_n=1
