SELFTEST accelerator=0 (real SIO registers)
T t=54.2 bar=36 sec=4 dma=1 interp=1 | render ms 3.11/3.87/6.99 | fps 59.7 | spans 1295 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2938 cy/pump 42.13 Mcy/s 1755 cy/sample | pump worst 212.88 us peak 265.78 us | AHASH s=1296000 5ef3448e | last_us prep=14 world=6929 lights=2162 board=0 other=2 shot=2 world_id=5 lights_n=6
T t=55.2 bar=36 sec=4 dma=1 interp=1 | render ms 6.20/7.57/8.32 | fps 59.7 | spans 1294 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2997 cy/pump 42.97 Mcy/s 1790 cy/sample | pump worst 300.21 us peak 300.21 us | AHASH s=1320000 ef9abee1 | last_us prep=13 world=6189 lights=1372 board=0 other=3 shot=2 world_id=5 lights_n=7
T t=56.2 bar=37 sec=4 dma=1 interp=1 | render ms 4.61/5.02/6.25 | fps 59.7 | spans 1222 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2881 cy/pump 41.32 Mcy/s 1722 cy/sample | pump worst 279.37 us peak 300.21 us | AHASH s=1344000 d690114c | last_us prep=13 world=5036 lights=404 board=0 other=3 shot=2 world_id=5 lights_n=1
T t=57.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.69/4.59/5.29 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2887 cy/pump 41.41 Mcy/s 1725 cy/sample | pump worst 270.69 us peak 300.21 us | AHASH s=1368000 01ac249b | last_us prep=14 world=3680 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=58.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.69/3.77/3.87 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2847 cy/pump 40.82 Mcy/s 1700 cy/sample | pump worst 200.04 us peak 300.21 us | AHASH s=1392000 522cb3b3 | last_us prep=14 world=3690 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=59.2 bar=39 sec=4 dma=1 interp=1 | render ms 3.69/3.76/3.87 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2827 cy/pump 40.54 Mcy/s 1689 cy/sample | pump worst 191.64 us peak 300.21 us | AHASH s=1416000 6cc6ca69 | last_us prep=15 world=3682 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=60.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.70/3.80/4.01 | fps 59.7 | spans 1244 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | pump worst 228.49 us peak 300.21 us | AHASH s=1440000 848a85cd | last_us prep=14 world=3757 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=61.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.74/3.87/4.05 | fps 59.7 | spans 1400 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 3212 cy/pump 46.06 Mcy/s 1919 cy/sample | pump worst 226.77 us peak 300.21 us | AHASH s=1464000 eda157bc | last_us prep=14 world=3886 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=62.2 bar=41 sec=5 dma=1 interp=1 | render ms 3.73/3.89/4.06 | fps 59.7 | spans 1292 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 3198 cy/pump 45.86 Mcy/s 1910 cy/sample | pump worst 232.56 us peak 300.21 us | AHASH s=1488000 c4640e24 | last_us prep=14 world=3807 lights=11 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=63.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.70/3.89/4.05 | fps 59.7 | spans 1242 | repeat 1 | over 0 | fill 986 win 987 under 0 | synth 3205 cy/pump 45.96 Mcy/s 1914 cy/sample | pump worst 260.43 us peak 300.21 us | AHASH s=1512000 092b46aa | last_us prep=13 world=3729 lights=14 board=0 other=3 shot=3 world_id=6 lights_n=1
