
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.67/13.71/13.78 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 630 cy/pump 9.04 Mcy/s 376 cy/sample | pump worst 36.94 us peak 38.48 us | last_us prep=879 wait=2623 field=0 mesh=5554 other=4725 texels=34454
T t=73.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.77/13.87/13.97 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 630 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 36.63 us peak 38.48 us | last_us prep=878 wait=2619 field=0 mesh=5752 other=4721 texels=37792
T t=74.2 bar=37 sec=2 dma=1 interp=1 | render ms 13.97/14.07/14.17 | fps 59.7 | tri 1152 | fill 624 win 987 under 0 | synth 632 cy/pump 9.07 Mcy/s 377 cy/sample | pump worst 36.63 us peak 38.48 us | last_us prep=877 wait=2631 field=0 mesh=5964 other=4702 texels=41202
T t=75.2 bar=37 sec=2 dma=1 interp=1 | render ms 14.15/14.23/14.29 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 630 cy/pump 9.03 Mcy/s 376 cy/sample | pump worst 36.51 us peak 38.48 us | last_us prep=879 wait=2633 field=0 mesh=6070 other=4686 texels=43592
T t=76.2 bar=38 sec=2 dma=1 interp=1 | render ms 14.09/14.18/14.34 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 630 cy/pump 9.04 Mcy/s 377 cy/sample | pump worst 36.82 us peak 38.48 us | last_us prep=877 wait=2627 field=0 mesh=5934 other=4685 texels=43310
T t=77.2 bar=38 sec=2 dma=1 interp=1 | render ms 13.94/14.03/14.24 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 629 cy/pump 9.02 Mcy/s 375 cy/sample | pump worst 36.76 us peak 38.48 us | last_us prep=878 wait=2636 field=0 mesh=5779 other=4698 texels=41732
T t=78.3 bar=39 sec=2 dma=1 interp=1 | render ms 13.83/13.92/14.09 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 632 cy/pump 9.06 Mcy/s 377 cy/sample | pump worst 36.98 us peak 38.48 us | last_us prep=877 wait=2618 field=0 mesh=5631 other=4709 texels=39136
T t=79.3 bar=39 sec=2 dma=1 interp=1 | render ms 13.61/13.75/13.94 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 628 cy/pump 9.01 Mcy/s 375 cy/sample | pump worst 36.50 us peak 38.48 us | last_us prep=880 wait=2624 field=0 mesh=5424 other=4714 texels=35744
T t=80.3 bar=40 sec=3 dma=1 interp=1 | render ms 10.61/14.29/16.38 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 486 cy/pump 6.97 Mcy/s 290 cy/sample | pump worst 36.59 us peak 38.48 us | last_us prep=35 wait=0 field=7533 mesh=0 other=3100 texels=76800
T t=81.3 bar=40 sec=3 dma=1 interp=1 | render ms 7.90/8.69/10.67 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 179 cy/pump 2.56 Mcy/s 106 cy/sample | pump worst 8.29 us peak 38.48 us | last_us prep=35 wait=0 field=7532 mesh=0 other=371 texels=76800
T t=82.3 bar=41 sec=3 dma=1 interp=1 | render ms 7.91/7.93/7.95 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 179 cy/pump 2.57 Mcy/s 107 cy/sample | pump worst 1.30 us peak 38.48 us | last_us prep=35 wait=0 field=7535 mesh=0 other=371 texels=76800
T t=83.3 bar=41 sec=3 dma=1 interp=1 | render ms 7.91/7.93/7.95 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 179 cy/pump 2.57 Mcy/s 107 cy/sample | pump worst 1.81 us peak 38.48 us | last_us prep=35 wait=0 field=7533 mesh=0 other=363 texels=76800
T t=84.3 bar=42 sec=3 dma=1 interp=1 | render ms 7.90/7.92/7.93 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 179 cy/pump 2.57 Mcy/s 107 cy/sample | pump worst 1.87 us peak 38.48 us | last_us prep=35 wait=0 field=7532 mesh=0 other=358 texels=76800
