SELFTEST accelerator=0 (real SIO registers)
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.18/14.22/14.40 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2979 cy/pump 42.72 Mcy/s 1779 cy/sample | pump worst 188.77 us peak 226.85 us | AHASH s=1584000 f4b464e5 | last_us prep=883 wait=2685 field=0 mesh=5953 other=4687 texels=43450
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.03/14.15/14.33 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3087 cy/pump 44.27 Mcy/s 1844 cy/sample | pump worst 228.04 us peak 228.04 us | AHASH s=1608000 ab894df0 | last_us prep=872 wait=2702 field=0 mesh=5798 other=4698 texels=41038
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.84/13.96/14.17 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3093 cy/pump 44.36 Mcy/s 1848 cy/sample | pump worst 190.61 us peak 228.04 us | AHASH s=1632000 5c19c873 | last_us prep=881 wait=2671 field=0 mesh=5591 other=4732 texels=36496
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.69/13.78/13.97 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3102 cy/pump 44.48 Mcy/s 1853 cy/sample | pump worst 208.19 us peak 228.04 us | AHASH s=1656000 dd19872a | last_us prep=881 wait=2675 field=0 mesh=5435 other=4728 texels=33106
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.65/13.70/13.85 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3064 cy/pump 43.94 Mcy/s 1831 cy/sample | pump worst 190.88 us peak 228.04 us | AHASH s=1680000 c39ec861 | last_us prep=883 wait=2677 field=0 mesh=5375 other=4737 texels=31680
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.66/13.72/13.81 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3154 cy/pump 45.23 Mcy/s 1885 cy/sample | pump worst 208.46 us peak 228.04 us | AHASH s=1704000 e943efc1 | last_us prep=875 wait=2681 field=0 mesh=5462 other=4738 texels=32494
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.71/13.78/13.88 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3190 cy/pump 45.75 Mcy/s 1906 cy/sample | pump worst 191.94 us peak 228.04 us | AHASH s=1728000 ca78b6dc | last_us prep=881 wait=2679 field=0 mesh=5552 other=4732 texels=34450
T t=73.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.82/13.93/14.05 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3035 cy/pump 43.53 Mcy/s 1813 cy/sample | pump worst 191.15 us peak 228.04 us | AHASH s=1752000 ceb4cb9f | last_us prep=890 wait=2677 field=0 mesh=5753 other=4725 texels=37792
T t=74.2 bar=37 sec=2 dma=1 interp=1 | render ms 14.04/14.13/14.23 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3185 cy/pump 45.67 Mcy/s 1903 cy/sample | pump worst 190.43 us peak 228.04 us | AHASH s=1776000 e6bb9f2c | last_us prep=883 wait=2674 field=0 mesh=5964 other=4709 texels=41202
T t=75.2 bar=37 sec=2 dma=1 interp=1 | render ms 14.21/14.30/14.36 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3154 cy/pump 45.23 Mcy/s 1885 cy/sample | pump worst 207.29 us peak 228.04 us | AHASH s=1800000 f5f7e452 | last_us prep=888 wait=2668 field=0 mesh=6067 other=4692 texels=43591
T t=76.2 bar=38 sec=2 dma=1 interp=1 | render ms 14.14/14.25/14.43 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3194 cy/pump 45.81 Mcy/s 1908 cy/sample | pump worst 192.35 us peak 228.04 us | AHASH s=1824000 024df89c | last_us prep=876 wait=2693 field=0 mesh=5932 other=4691 texels=43292
T t=77.2 bar=38 sec=2 dma=1 interp=1 | render ms 14.02/14.10/14.34 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3164 cy/pump 45.37 Mcy/s 1890 cy/sample | pump worst 226.05 us peak 228.04 us | AHASH s=1848000 4f0f0698 | last_us prep=890 wait=2671 field=0 mesh=5782 other=4703 texels=41738
T t=78.3 bar=39 sec=2 dma=1 interp=1 | render ms 13.89/13.99/14.17 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3060 cy/pump 43.89 Mcy/s 1829 cy/sample | pump worst 188.15 us peak 228.04 us | AHASH s=1872000 e1d46a93 | last_us prep=887 wait=2681 field=0 mesh=5633 other=4712 texels=39098
