SELFTEST accelerator=0 (real SIO registers)
T t=50.2 bar=25 sec=2 dma=1 interp=1 | render ms 15.47/15.51/15.67 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3070 cy/pump 44.02 Mcy/s 1834 cy/sample | pump worst 214.71 us peak 226.71 us | AHASH s=1200000 a08fa215 | last_us prep=870 wait=2735 field=0 mesh=5248 other=6707 texels=32576
T t=51.2 bar=25 sec=2 dma=1 interp=1 | render ms 15.48/15.52/15.61 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3044 cy/pump 43.65 Mcy/s 1819 cy/sample | pump worst 189.78 us peak 226.71 us | AHASH s=1224000 9264ba64 | last_us prep=878 wait=2685 field=0 mesh=5309 other=6712 texels=34220
T t=52.2 bar=26 sec=2 dma=1 interp=1 | render ms 15.58/15.67/15.78 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2928 cy/pump 41.98 Mcy/s 1750 cy/sample | pump worst 197.11 us peak 226.71 us | AHASH s=1248000 18ee20fb | last_us prep=874 wait=2695 field=0 mesh=5499 other=6698 texels=37422
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 15.75/15.85/15.96 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2857 cy/pump 40.97 Mcy/s 1707 cy/sample | pump worst 195.79 us peak 226.71 us | AHASH s=1272000 a8991741 | last_us prep=874 wait=2706 field=0 mesh=5700 other=6686 texels=40774
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 15.94/16.04/16.13 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3064 cy/pump 43.94 Mcy/s 1831 cy/sample | pump worst 207.15 us peak 226.71 us | AHASH s=1296000 57fec29a | last_us prep=865 wait=2691 field=0 mesh=5886 other=6681 texels=43598
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 16.12/16.18/16.25 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3004 cy/pump 43.08 Mcy/s 1795 cy/sample | pump worst 220.71 us peak 226.71 us | AHASH s=1320000 085403c0 | last_us prep=876 wait=2706 field=0 mesh=5984 other=6653 texels=44424
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 16.02/16.13/16.30 | fps 58.7 | tri 1151 | fill 623 win 988 under 0 | synth 3060 cy/pump 43.89 Mcy/s 1828 cy/sample | pump worst 196.89 us peak 226.71 us | AHASH s=1344000 3ae3bec3 | last_us prep=878 wait=2683 field=0 mesh=5832 other=6633 texels=42240
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 15.70/15.89/16.21 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3041 cy/pump 43.62 Mcy/s 1817 cy/sample | pump worst 201.30 us peak 226.71 us | AHASH s=1368000 9306c33b | last_us prep=880 wait=2682 field=0 mesh=5493 other=6649 texels=38346
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 15.49/15.61/15.89 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2930 cy/pump 42.02 Mcy/s 1751 cy/sample | pump worst 198.28 us peak 226.71 us | AHASH s=1392000 6c4eef5e | last_us prep=878 wait=2683 field=0 mesh=5263 other=6671 texels=35866
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 15.32/15.43/15.68 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2867 cy/pump 41.12 Mcy/s 1713 cy/sample | pump worst 191.56 us peak 226.71 us | AHASH s=1416000 c4e6d69f | last_us prep=875 wait=2674 field=0 mesh=5084 other=6685 texels=33838
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 15.28/15.32/15.53 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3060 cy/pump 43.88 Mcy/s 1828 cy/sample | pump worst 195.89 us peak 226.71 us | AHASH s=1440000 e033e03e | last_us prep=870 wait=2690 field=0 mesh=5058 other=6688 texels=32850
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 15.31/15.36/15.48 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3008 cy/pump 43.14 Mcy/s 1797 cy/sample | pump worst 224.32 us peak 226.71 us | AHASH s=1464000 8511090b | last_us prep=872 wait=2701 field=0 mesh=5156 other=6689 texels=33060
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 15.42/15.53/15.67 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3069 cy/pump 44.01 Mcy/s 1834 cy/sample | pump worst 202.15 us peak 226.71 us | AHASH s=1488000 cd59b295 | last_us prep=868 wait=2702 field=0 mesh=5378 other=6688 texels=35360
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 15.65/15.81/15.94 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3034 cy/pump 43.52 Mcy/s 1813 cy/sample | pump worst 197.74 us peak 226.71 us | AHASH s=1512000 b5cecce8 | last_us prep=870 wait=2702 field=0 mesh=5692 other=6674 texels=39180
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 15.95/16.06/16.14 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3020 cy/pump 43.30 Mcy/s 1804 cy/sample | pump worst 198.02 us peak 226.71 us | AHASH s=1536000 acaee972 | last_us prep=881 wait=2690 field=0 mesh=5895 other=6651 texels=42232
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 16.12/16.16/16.26 | fps 58.7 | tri 1150 | fill 623 win 988 under 0 | synth 3021 cy/pump 43.33 Mcy/s 1805 cy/sample | pump worst 209.57 us peak 226.71 us | AHASH s=1560000 f2d1a175 | last_us prep=870 wait=2707 field=0 mesh=5945 other=6658 texels=43566
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 16.10/16.14/16.28 | fps 58.7 | tri 1152 | fill 623 win 988 under 0 | synth 2955 cy/pump 42.38 Mcy/s 1766 cy/sample | pump worst 205.13 us peak 226.71 us | AHASH s=1584000 f4b464e5 | last_us prep=866 wait=2700 field=0 mesh=5900 other=6632 texels=43466
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 15.97/16.07/16.30 | fps 58.7 | tri 1151 | fill 623 win 988 under 0 | synth 3068 cy/pump 43.99 Mcy/s 1833 cy/sample | pump worst 192.65 us peak 226.71 us | AHASH s=1608000 ab894df0 | last_us prep=886 wait=2682 field=0 mesh=5742 other=6672 texels=40960
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 15.78/15.88/16.13 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3078 cy/pump 44.14 Mcy/s 1839 cy/sample | pump worst 195.17 us peak 226.71 us | AHASH s=1632000 5c19c873 | last_us prep=872 wait=2690 field=0 mesh=5540 other=6690 texels=36444
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 15.63/15.71/15.94 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3082 cy/pump 44.20 Mcy/s 1842 cy/sample | pump worst 205.14 us peak 226.71 us | AHASH s=1656000 dd19872a | last_us prep=870 wait=2699 field=0 mesh=5388 other=6708 texels=33020
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 15.60/15.64/15.90 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3050 cy/pump 43.74 Mcy/s 1822 cy/sample | pump worst 205.53 us peak 226.71 us | AHASH s=1680000 c39ec861 | last_us prep=873 wait=2706 field=0 mesh=5334 other=6722 texels=31672
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 15.61/15.65/15.78 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3132 cy/pump 44.91 Mcy/s 1872 cy/sample | pump worst 224.76 us peak 226.71 us | AHASH s=1704000 e943efc1 | last_us prep=874 wait=2703 field=0 mesh=5415 other=6716 texels=32498
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 15.67/15.72/15.84 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3170 cy/pump 45.46 Mcy/s 1894 cy/sample | pump worst 194.08 us peak 226.71 us | AHASH s=1728000 ca78b6dc | last_us prep=880 wait=2670 field=0 mesh=5508 other=6711 texels=34506
T t=73.3 bar=36 sec=2 dma=1 interp=1 | render ms 15.77/15.87/15.98 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3018 cy/pump 43.29 Mcy/s 1804 cy/sample | pump worst 195.05 us peak 226.71 us | AHASH s=1752000 ceb4cb9f | last_us prep=875 wait=2691 field=0 mesh=5716 other=6700 texels=37854
T t=74.3 bar=37 sec=2 dma=1 interp=1 | render ms 15.97/16.07/16.17 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3169 cy/pump 45.44 Mcy/s 1893 cy/sample | pump worst 212.30 us peak 226.71 us | AHASH s=1776000 e6bb9f2c | last_us prep=871 wait=2707 field=0 mesh=5915 other=6675 texels=41196
T t=75.3 bar=37 sec=2 dma=1 interp=1 | render ms 16.14/16.22/16.32 | fps 58.7 | tri 1152 | fill 623 win 988 under 0 | synth 3129 cy/pump 44.88 Mcy/s 1870 cy/sample | pump worst 205.08 us peak 226.71 us | AHASH s=1800000 f5f7e452 | last_us prep=878 wait=2697 field=0 mesh=6005 other=6634 texels=43594
T t=76.3 bar=38 sec=2 dma=1 interp=1 | render ms 16.08/16.16/16.38 | fps 58.7 | tri 1152 | fill 623 win 988 under 0 | synth 3177 cy/pump 45.57 Mcy/s 1898 cy/sample | pump worst 196.59 us peak 226.71 us | AHASH s=1824000 024df89c | last_us prep=880 wait=2691 field=0 mesh=5882 other=6658 texels=43272
T t=77.3 bar=38 sec=2 dma=1 interp=1 | render ms 15.94/16.02/16.27 | fps 58.7 | tri 1152 | fill 623 win 988 under 0 | synth 3134 cy/pump 44.94 Mcy/s 1873 cy/sample | pump worst 212.00 us peak 226.71 us | AHASH s=1848000 4f0f0698 | last_us prep=875 wait=2707 field=0 mesh=5724 other=6649 texels=41692
T t=78.3 bar=39 sec=2 dma=1 interp=1 | render ms 15.81/15.91/16.10 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3052 cy/pump 43.77 Mcy/s 1823 cy/sample | pump worst 208.94 us peak 226.71 us | AHASH s=1872000 e1d46a93 | last_us prep=880 wait=2682 field=0 mesh=5585 other=6663 texels=39040
