
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 20.25/20.45/20.79 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2805 cy/pump 40.23 Mcy/s 1676 cy/sample | pump worst 193.13 us peak 228.56 us | AHASH s=1368000 9306c33b | last_us prep=5453 wait=0 field=0 mesh=5507 other=9289 texels=38418
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 20.07/20.17/20.40 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2692 cy/pump 38.61 Mcy/s 1608 cy/sample | pump worst 192.97 us peak 228.56 us | AHASH s=1392000 6c4eef5e | last_us prep=5470 wait=0 field=0 mesh=5282 other=9324 texels=35864
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 19.90/20.00/20.24 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2632 cy/pump 37.75 Mcy/s 1573 cy/sample | pump worst 185.18 us peak 228.56 us | AHASH s=1416000 c4e6d69f | last_us prep=5508 wait=0 field=0 mesh=5102 other=9335 texels=33912
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 19.82/19.88/20.08 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2825 cy/pump 40.51 Mcy/s 1688 cy/sample | pump worst 205.43 us peak 228.56 us | AHASH s=1440000 e033e03e | last_us prep=5427 wait=1 field=0 mesh=5056 other=9341 texels=32824
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 19.85/19.93/20.05 | fps 29.8 | tri 1148 | fill 623 win 986 under 0 | synth 2777 cy/pump 39.83 Mcy/s 1659 cy/sample | pump worst 204.40 us peak 228.56 us | AHASH s=1464000 8511090b | last_us prep=5482 wait=0 field=0 mesh=5160 other=9337 texels=33064
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 19.99/20.09/20.19 | fps 29.8 | tri 1149 | fill 623 win 988 under 0 | synth 2832 cy/pump 40.62 Mcy/s 1692 cy/sample | pump worst 193.74 us peak 228.56 us | AHASH s=1488000 cd59b295 | last_us prep=5474 wait=1 field=0 mesh=5377 other=9339 texels=35310
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 20.19/20.37/20.54 | fps 29.8 | tri 1148 | fill 623 win 988 under 0 | synth 2799 cy/pump 40.14 Mcy/s 1672 cy/sample | pump worst 201.59 us peak 228.56 us | AHASH s=1512000 b5cecce8 | last_us prep=5481 wait=0 field=0 mesh=5693 other=9316 texels=39144
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 20.49/20.63/20.72 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2781 cy/pump 39.88 Mcy/s 1661 cy/sample | pump worst 191.95 us peak 228.56 us | AHASH s=1536000 acaee972 | last_us prep=5511 wait=0 field=0 mesh=5896 other=9291 texels=42146
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 20.68/20.72/20.85 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2795 cy/pump 40.08 Mcy/s 1670 cy/sample | pump worst 200.18 us peak 228.56 us | AHASH s=1560000 f2d1a175 | last_us prep=5518 wait=0 field=0 mesh=5958 other=9273 texels=43556
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 20.64/20.69/20.87 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2725 cy/pump 39.08 Mcy/s 1628 cy/sample | pump worst 190.89 us peak 228.56 us | AHASH s=1584000 f4b464e5 | last_us prep=5505 wait=0 field=0 mesh=5911 other=9273 texels=43510
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 20.52/20.64/20.86 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2839 cy/pump 40.72 Mcy/s 1696 cy/sample | pump worst 200.75 us peak 228.56 us | AHASH s=1608000 ab894df0 | last_us prep=5475 wait=1 field=0 mesh=5756 other=9289 texels=41044
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 20.31/20.45/20.68 | fps 29.8 | tri 1149 | fill 623 win 988 under 0 | synth 2844 cy/pump 40.79 Mcy/s 1699 cy/sample | pump worst 229.15 us peak 229.15 us | AHASH s=1632000 5c19c873 | last_us prep=5455 wait=0 field=0 mesh=5549 other=9309 texels=36502
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 20.18/20.28/20.51 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2842 cy/pump 40.76 Mcy/s 1698 cy/sample | pump worst 210.02 us peak 229.15 us | AHASH s=1656000 dd19872a | last_us prep=5458 wait=0 field=0 mesh=5396 other=9334 texels=33098
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 20.17/20.21/20.41 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2810 cy/pump 40.30 Mcy/s 1679 cy/sample | pump worst 195.54 us peak 229.15 us | AHASH s=1680000 c39ec861 | last_us prep=5486 wait=0 field=0 mesh=5336 other=9348 texels=31688
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 20.16/20.23/20.36 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2894 cy/pump 41.50 Mcy/s 1729 cy/sample | pump worst 208.18 us peak 229.15 us | AHASH s=1704000 e943efc1 | last_us prep=5463 wait=0 field=0 mesh=5418 other=9348 texels=32468
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 20.23/20.30/20.46 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2929 cy/pump 42.01 Mcy/s 1750 cy/sample | pump worst 197.21 us peak 229.15 us | AHASH s=1728000 ca78b6dc | last_us prep=5525 wait=0 field=0 mesh=5514 other=9338 texels=34466
T t=73.2 bar=36 sec=2 dma=1 interp=1 | render ms 20.34/20.45/20.60 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2784 cy/pump 39.92 Mcy/s 1663 cy/sample | pump worst 195.52 us peak 229.15 us | AHASH s=1752000 ceb4cb9f | last_us prep=5486 wait=0 field=0 mesh=5711 other=9329 texels=37808
T t=74.2 bar=37 sec=2 dma=1 interp=1 | render ms 20.57/20.64/20.76 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2925 cy/pump 41.95 Mcy/s 1748 cy/sample | pump worst 194.91 us peak 229.15 us | AHASH s=1776000 e6bb9f2c | last_us prep=5497 wait=1 field=0 mesh=5918 other=9301 texels=41194
T t=75.2 bar=37 sec=2 dma=1 interp=1 | render ms 20.72/20.78/20.92 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2903 cy/pump 41.64 Mcy/s 1735 cy/sample | pump worst 207.98 us peak 229.15 us | AHASH s=1800000 f5f7e452 | last_us prep=5453 wait=0 field=0 mesh=6021 other=9280 texels=43644
T t=76.3 bar=38 sec=2 dma=1 interp=1 | render ms 20.64/20.72/20.94 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2949 cy/pump 42.30 Mcy/s 1762 cy/sample | pump worst 230.66 us peak 230.66 us | AHASH s=1824000 024df89c | last_us prep=5494 wait=0 field=0 mesh=5889 other=9272 texels=43274
T t=77.3 bar=38 sec=2 dma=1 interp=1 | render ms 20.48/20.58/20.79 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2904 cy/pump 41.64 Mcy/s 1735 cy/sample | pump worst 204.30 us peak 230.66 us | AHASH s=1848000 4f0f0698 | last_us prep=5483 wait=0 field=0 mesh=5741 other=9293 texels=41736
