
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=49.1 bar=24 sec=2 dma=1 interp=1 | render ms 18.09/23.64/32.18 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1641 cy/sample | pump worst 188.44 us peak 244.85 us | AHASH s=1176000 6a4c0629 | last_us prep=881 wait=2686 field=0 mesh=5275 other=9278 texels=32860
T t=50.1 bar=25 sec=2 dma=1 interp=1 | render ms 18.09/18.12/18.27 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2794 cy/pump 40.07 Mcy/s 1669 cy/sample | pump worst 235.35 us peak 244.85 us | AHASH s=1200000 a08fa215 | last_us prep=875 wait=2695 field=0 mesh=5246 other=9303 texels=32572
T t=51.1 bar=25 sec=2 dma=1 interp=1 | render ms 18.07/18.12/18.25 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2767 cy/pump 39.68 Mcy/s 1653 cy/sample | pump worst 188.85 us peak 244.85 us | AHASH s=1224000 9264ba64 | last_us prep=880 wait=2670 field=0 mesh=5313 other=9293 texels=34168
T t=52.1 bar=26 sec=2 dma=1 interp=1 | render ms 18.19/18.28/18.37 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2654 cy/pump 38.06 Mcy/s 1586 cy/sample | pump worst 203.65 us peak 244.85 us | AHASH s=1248000 18ee20fb | last_us prep=882 wait=2687 field=0 mesh=5494 other=9299 texels=37382
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 18.36/18.45/18.56 | fps 29.8 | tri 1150 | fill 624 win 988 under 0 | synth 2587 cy/pump 37.10 Mcy/s 1546 cy/sample | pump worst 178.60 us peak 244.85 us | AHASH s=1272000 a8991741 | last_us prep=874 wait=2704 field=0 mesh=5694 other=9285 texels=40738
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 18.54/18.64/18.75 | fps 29.8 | tri 1150 | fill 624 win 988 under 0 | synth 2790 cy/pump 40.01 Mcy/s 1667 cy/sample | pump worst 195.39 us peak 244.85 us | AHASH s=1296000 57fec29a | last_us prep=868 wait=2693 field=0 mesh=5881 other=9247 texels=43558
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 18.70/18.78/18.89 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2731 cy/pump 39.16 Mcy/s 1631 cy/sample | pump worst 187.19 us peak 244.85 us | AHASH s=1320000 085403c0 | last_us prep=872 wait=2688 field=0 mesh=5994 other=9230 texels=44490
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 18.62/18.73/18.97 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2795 cy/pump 40.08 Mcy/s 1670 cy/sample | pump worst 192.81 us peak 244.85 us | AHASH s=1344000 3ae3bec3 | last_us prep=874 wait=2682 field=0 mesh=5839 other=9230 texels=42292
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 18.31/18.49/18.83 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2764 cy/pump 39.64 Mcy/s 1652 cy/sample | pump worst 188.66 us peak 244.85 us | AHASH s=1368000 9306c33b | last_us prep=874 wait=2689 field=0 mesh=5508 other=9245 texels=38442
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 18.11/18.21/18.48 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2654 cy/pump 38.06 Mcy/s 1586 cy/sample | pump worst 216.00 us peak 244.85 us | AHASH s=1392000 6c4eef5e | last_us prep=876 wait=2707 field=0 mesh=5273 other=9271 texels=35878
