
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=52.2 bar=26 sec=2 dma=1 interp=1 | render ms 20.57/20.67/20.79 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2766 cy/pump 39.67 Mcy/s 1652 cy/sample | pump worst 193.22 us peak 230.21 us | AHASH s=1248000 18ee20fb | last_us prep=6035 wait=2 field=0 mesh=5356 other=9346 texels=37422
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 20.73/20.84/20.94 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2700 cy/pump 38.72 Mcy/s 1613 cy/sample | pump worst 186.99 us peak 230.21 us | AHASH s=1272000 a8991741 | last_us prep=6023 wait=1 field=0 mesh=5551 other=9341 texels=40774
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 20.96/21.04/21.14 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2906 cy/pump 41.67 Mcy/s 1737 cy/sample | pump worst 217.03 us peak 230.21 us | AHASH s=1296000 57fec29a | last_us prep=6039 wait=2 field=0 mesh=5732 other=9312 texels=43598
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 21.09/21.16/21.23 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2845 cy/pump 40.80 Mcy/s 1700 cy/sample | pump worst 215.30 us peak 230.21 us | AHASH s=1320000 085403c0 | last_us prep=6050 wait=1 field=0 mesh=5825 other=9296 texels=44424
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 21.00/21.11/21.29 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2906 cy/pump 41.68 Mcy/s 1736 cy/sample | pump worst 204.23 us peak 230.21 us | AHASH s=1344000 3ae3bec3 | last_us prep=6041 wait=1 field=0 mesh=5678 other=9295 texels=42252
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 20.69/20.87/21.13 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2874 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 216.86 us peak 230.21 us | AHASH s=1368000 9306c33b | last_us prep=6037 wait=2 field=0 mesh=5348 other=9317 texels=38346
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 20.49/20.61/20.81 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2762 cy/pump 39.61 Mcy/s 1650 cy/sample | pump worst 189.53 us peak 230.21 us | AHASH s=1392000 6c4eef5e | last_us prep=6017 wait=2 field=0 mesh=5124 other=9344 texels=35864
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 20.34/20.44/20.64 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2707 cy/pump 38.82 Mcy/s 1617 cy/sample | pump worst 186.30 us peak 230.21 us | AHASH s=1416000 c4e6d69f | last_us prep=6026 wait=2 field=0 mesh=4950 other=9361 texels=33838
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 20.26/20.33/20.52 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2897 cy/pump 41.55 Mcy/s 1731 cy/sample | pump worst 209.28 us peak 230.21 us | AHASH s=1440000 e033e03e | last_us prep=6040 wait=1 field=0 mesh=4924 other=9361 texels=32850
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 20.31/20.37/20.47 | fps 29.8 | tri 1149 | fill 623 win 988 under 0 | synth 2853 cy/pump 40.92 Mcy/s 1704 cy/sample | pump worst 194.94 us peak 230.21 us | AHASH s=1464000 8511090b | last_us prep=6029 wait=2 field=0 mesh=5016 other=9355 texels=33043
