SELFTEST accelerator=0 (real SIO registers)
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.02/14.14/14.23 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3022 cy/pump 43.34 Mcy/s 1806 cy/sample | pump worst 223.39 us peak 244.73 us | AHASH s=1536000 acaee972 | last_us prep=877 wait=2685 field=0 mesh=5939 other=4704 texels=42188
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.19/14.24/14.35 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3047 cy/pump 43.70 Mcy/s 1821 cy/sample | pump worst 192.36 us peak 244.73 us | AHASH s=1560000 f2d1a175 | last_us prep=880 wait=2683 field=0 mesh=6001 other=4690 texels=43550
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.18/14.23/14.39 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2979 cy/pump 42.72 Mcy/s 1779 cy/sample | pump worst 209.03 us peak 244.73 us | AHASH s=1584000 f4b464e5 | last_us prep=876 wait=2705 field=0 mesh=5951 other=4688 texels=43456
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.03/14.15/14.33 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3087 cy/pump 44.27 Mcy/s 1845 cy/sample | pump worst 192.91 us peak 244.73 us | AHASH s=1608000 ab894df0 | last_us prep=891 wait=2687 field=0 mesh=5796 other=4700 texels=41036
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.85/13.96/14.17 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3087 cy/pump 44.28 Mcy/s 1844 cy/sample | pump worst 199.03 us peak 244.73 us | AHASH s=1632000 5c19c873 | last_us prep=878 wait=2692 field=0 mesh=5593 other=4714 texels=36506
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.70/13.78/13.98 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3097 cy/pump 44.41 Mcy/s 1850 cy/sample | pump worst 190.37 us peak 244.73 us | AHASH s=1656000 dd19872a | last_us prep=890 wait=2679 field=0 mesh=5434 other=4731 texels=33082
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.65/13.71/13.83 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3063 cy/pump 43.93 Mcy/s 1830 cy/sample | pump worst 216.31 us peak 244.73 us | AHASH s=1680000 c39ec861 | last_us prep=887 wait=2678 field=0 mesh=5376 other=4743 texels=31686
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.66/13.72/13.83 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3149 cy/pump 45.17 Mcy/s 1882 cy/sample | pump worst 195.56 us peak 244.73 us | AHASH s=1704000 e943efc1 | last_us prep=886 wait=2692 field=0 mesh=5458 other=4737 texels=32472
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.72/13.79/13.93 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3187 cy/pump 45.71 Mcy/s 1904 cy/sample | pump worst 204.68 us peak 244.73 us | AHASH s=1728000 ca78b6dc | last_us prep=892 wait=2676 field=0 mesh=5556 other=4732 texels=34474
T t=73.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.84/13.94/14.04 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3034 cy/pump 43.51 Mcy/s 1813 cy/sample | pump worst 192.90 us peak 244.73 us | AHASH s=1752000 ceb4cb9f | last_us prep=888 wait=2683 field=0 mesh=5749 other=4725 texels=37798
T t=74.2 bar=37 sec=2 dma=1 interp=1 | render ms 14.04/14.14/14.25 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3184 cy/pump 45.66 Mcy/s 1902 cy/sample | pump worst 224.53 us peak 244.73 us | AHASH s=1776000 e6bb9f2c | last_us prep=889 wait=2665 field=0 mesh=5965 other=4712 texels=41184
