opened COM10
bytes received: 24510


=== PERSISTENCE (LATENT) === sys_clk 300000000 Hz

[f= 7318 finale   ] line  3135/ 5665 cy (mean/worst) | slips 0 | prep  6908 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2928000 d34c8851

[f= 7378 finale   ] line  3147/ 6162 cy (mean/worst) | slips 0 | prep  7091 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2952000 24c606b2

[f= 7438 finale   ] line  3223/ 6360 cy (mean/worst) | slips 0 | prep  7220 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2976000 d097e39b

[f= 7498 finale   ] line  3107/ 5995 cy (mean/worst) | slips 0 | prep  6708 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3000000 6addc9b5

[f= 7558 finale   ] line  3141/ 5665 cy (mean/worst) | slips 0 | prep  6995 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3024000 f697e158

[f= 7618 finale   ] line  3243/ 5749 cy (mean/worst) | slips 0 | prep  7001 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3048000 4e6c3df8

[f= 7678 finale   ] line  3219/ 6185 cy (mean/worst) | slips 0 | prep  7661 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3072000 8a66d0a9

[f= 7738 finale   ] line  3140/ 6014 cy (mean/worst) | slips 0 | prep  7007 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3096000 e9ef4f1d

[f= 7798 finale   ] line  3186/ 6390 cy (mean/worst) | slips 0 | prep  7310 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3120000 5288e788

[f= 7858 finale   ] line  3240/ 6204 cy (mean/worst) | slips 0 | prep  7172 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3144000 fcc9b3d9

[f= 7918 finale   ] line  3178/ 6145 cy (mean/worst) | slips 0 | prep  7661 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3168000 b96ac6f1

[f= 7978 finale   ] line  3068/ 6054 cy (mean/worst) | slips 0 | prep  7138 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.75 fps 23896 sps | AHASH s=3192000 2b505c07

[f= 8038 credits  ] line  2925/ 5865 cy (mean/worst) | slips 0 | prep  6535 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3216000 18ca192e

[f= 8098 credits  ] line  2144/ 6144 cy (mean/worst) | slips 0 | prep  6384 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=3240000 8f252fbc

