T t=81.2 bar=42 sec=3 smooth=0 interp=0 | render ms 43.86/44.92/45.46 | fps 19.9 | tri 2304 | fill 624 win 988 under 0 | synth 4351 cy/pump 62.40 Mcy/s 2600 cy/sample | pump worst 337.57 us peak 353.16 us | AHASH s=1944000 0ade2588
T t=82.2 bar=42 sec=3 smooth=0 interp=0 | render ms 43.14/43.28/43.76 | fps 19.9 | tri 2304 | fill 624 win 986 under 0 | synth 4354 cy/pump 62.45 Mcy/s 2602 cy/sample | pump worst 230.08 us peak 353.16 us | AHASH s=1968000 d7440193
T t=83.3 bar=43 sec=3 smooth=0 interp=0 | render ms 27.19/30.27/43.31 | fps 27.4 | tri 2304 | fill 624 win 988 under 0 | synth 3442 cy/pump 49.37 Mcy/s 2024 cy/sample | pump worst 226.70 us peak 353.16 us | AHASH s=1992000 11b5c668
T t=84.3 bar=43 sec=3 smooth=0 interp=0 | render ms 27.71/28.16/28.42 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3130 cy/pump 44.89 Mcy/s 1870 cy/sample | pump worst 219.91 us peak 353.16 us | AHASH s=2016000 198c7acf
T t=85.3 bar=44 sec=3 smooth=0 interp=0 | render ms 25.74/26.46/27.69 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3099 cy/pump 44.45 Mcy/s 1852 cy/sample | pump worst 228.51 us peak 353.16 us | AHASH s=2040000 70f8c411
T t=86.3 bar=44 sec=3 smooth=0 interp=0 | render ms 25.54/25.76/25.96 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3128 cy/pump 44.85 Mcy/s 1869 cy/sample | pump worst 235.59 us peak 353.16 us | AHASH s=2064000 704efe1d
T t=87.3 bar=45 sec=3 smooth=0 interp=0 | render ms 25.61/26.18/26.85 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3122 cy/pump 44.77 Mcy/s 1865 cy/sample | pump worst 199.14 us peak 353.16 us | AHASH s=2088000 473c50b3
T t=88.3 bar=46 sec=3 smooth=0 interp=0 | render ms 26.18/26.75/27.70 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3134 cy/pump 44.94 Mcy/s 1873 cy/sample | pump worst 321.43 us peak 353.16 us | AHASH s=2112000 bac207aa
T t=89.3 bar=46 sec=3 smooth=0 interp=0 | render ms 26.44/26.84/27.66 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3172 cy/pump 45.49 Mcy/s 1894 cy/sample | pump worst 219.98 us peak 353.16 us | AHASH s=2136000 b760c795
T t=90.3 bar=47 sec=3 smooth=0 interp=0 | render ms 26.55/27.10/27.81 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3175 cy/pump 45.53 Mcy/s 1897 cy/sample | pump worst 223.76 us peak 353.16 us | AHASH s=2160000 8e888b46
T t=91.3 bar=47 sec=3 smooth=0 interp=0 | render ms 27.88/28.14/28.34 | fps 29.8 | tri 2304 | fill 624 win 987 under 0 | synth 3167 cy/pump 45.42 Mcy/s 1892 cy/sample | pump worst 254.16 us peak 353.16 us | AHASH s=2184000 4a250f77
T t=92.3 bar=48 sec=4 smooth=0 interp=0 | render ms 27.22/27.79/28.16 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3343 cy/pump 47.95 Mcy/s 1998 cy/sample | pump worst 265.06 us peak 353.16 us | AHASH s=2208000 16df1b6a
T t=93.3 bar=48 sec=4 smooth=0 interp=0 | render ms 26.01/26.49/27.31 | fps 29.8 | tri 2304 | fill 624 win 987 under 0 | synth 3803 cy/pump 54.54 Mcy/s 2272 cy/sample | pump worst 224.84 us peak 353.16 us | AHASH s=2232000 0485607f
T t=94.3 bar=49 sec=4 smooth=0 interp=0 | render ms 26.77/27.84/28.99 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3806 cy/pump 54.58 Mcy/s 2274 cy/sample | pump worst 275.55 us peak 353.16 us | AHASH s=2256000 84ebf05f
T t=95.3 bar=49 sec=4 smooth=0 interp=0 | render ms 29.07/29.22/29.32 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3815 cy/pump 54.71 Mcy/s 2279 cy/sample | pump worst 248.89 us peak 353.16 us | AHASH s=2280000 49edbec1
T t=96.3 bar=50 sec=4 smooth=0 interp=0 | render ms 27.68/28.56/29.24 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3826 cy/pump 54.86 Mcy/s 2285 cy/sample | pump worst 292.76 us peak 353.16 us | AHASH s=2304000 ecb8dda2
T t=97.3 bar=50 sec=4 smooth=0 interp=0 | render ms 27.09/27.59/28.47 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3808 cy/pump 54.61 Mcy/s 2275 cy/sample | pump worst 299.06 us peak 353.16 us | AHASH s=2328000 f079ffbe
