
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=61616 heap_free=61616 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=61616
BOOT heap_free_after_video=49152 scanout_lines=240
T t=58.3 bar=30 ph=4 the hand | render ms 36.43/36.48/36.53 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.93 Mcy/s | synth 2987 cy/pump 42.84 Mcy/s 1785 cy/sample | tri 342 px 46812 part 96 ch 2 | AHASH s=1392000 bd966cf3
T t=59.3 bar=30 ph=4 the hand | render ms 36.42/36.51/36.59 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.93 Mcy/s | synth 2984 cy/pump 42.80 Mcy/s 1783 cy/sample | tri 342 px 47230 part 96 ch 2 | AHASH s=1416000 6495f6fb
T t=60.3 bar=31 ph=4 the hand | render ms 36.57/36.61/36.69 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.93 Mcy/s | synth 2984 cy/pump 42.79 Mcy/s 1783 cy/sample | tri 342 px 47367 part 98 ch 2 | AHASH s=1440000 3f5f9a21
T t=61.3 bar=31 ph=4 the hand | render ms 36.61/36.65/36.72 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.93 Mcy/s | synth 2984 cy/pump 42.80 Mcy/s 1783 cy/sample | tri 342 px 47542 part 98 ch 2 | AHASH s=1464000 444d7d03
PHRASE t=61.4 bar=32 ph=5 the hand | render ms 35.77/38.20/66.81 | fps 19.4 | hold 5 miss 298 late 298 | gap ms 83.68 | under 0 fill 465 | copy 2365 cy/line 33.92 Mcy/s | synth 2984 cy/pump 42.80 Mcy/s 1783 cy/sample | tri 342 px 47643 part 104 ch 2 | AHASH s=1464000 444d7d03
T t=62.3 bar=32 ph=5 the hand | render ms 36.66/36.75/36.81 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.92 Mcy/s | synth 2987 cy/pump 42.84 Mcy/s 1785 cy/sample | tri 342 px 47728 part 104 ch 2 | AHASH s=1488000 941943d6
T t=63.3 bar=32 ph=5 the hand | render ms 36.74/36.83/36.88 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.93 Mcy/s | synth 2986 cy/pump 42.83 Mcy/s 1784 cy/sample | tri 342 px 48242 part 104 ch 2 | AHASH s=1512000 8a2532e6
T t=64.3 bar=33 ph=5 the hand | render ms 36.84/36.88/36.93 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2366 cy/line 33.93 Mcy/s | synth 2986 cy/pump 42.83 Mcy/s 1784 cy/sample | tri 342 px 48218 part 104 ch 2 | AHASH s=1536000 106f9ee9
T t=65.3 bar=34 ph=5 the hand | render ms 36.84/36.93/36.99 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2365 cy/line 33.92 Mcy/s | synth 2984 cy/pump 42.79 Mcy/s 1783 cy/sample | tri 340 px 48563 part 104 ch 2 | AHASH s=1560000 6056688e
T t=66.3 bar=34 ph=5 the hand | render ms 36.96/37.01/37.08 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2365 cy/line 33.92 Mcy/s | synth 2987 cy/pump 42.84 Mcy/s 1785 cy/sample | tri 340 px 48986 part 104 ch 2 | AHASH s=1584000 ff52ffe2
