
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=62352 heap_free=62352 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=62352
BOOT heap_free_after_video=49152 scanout_lines=240
T t=54.2 bar=28 ph=4 the hand | render ms 47.75/47.79/47.94 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2950 cy/pump 42.30 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1296000 78105b3c
T t=55.2 bar=28 ph=4 the hand | render ms 47.73/47.78/47.94 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1320000 afedece0
T t=56.2 bar=29 ph=4 the hand | render ms 47.74/47.77/47.97 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.76 Mcy/s | synth 2947 cy/pump 42.26 Mcy/s 1760 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1344000 5b477c1e
T t=57.2 bar=29 ph=4 the hand | render ms 47.72/47.76/47.89 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2946 cy/pump 42.26 Mcy/s 1760 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1368000 812c4246
T t=58.2 bar=30 ph=4 the hand | render ms 47.74/47.77/47.89 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.76 Mcy/s | synth 2947 cy/pump 42.26 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1392000 bd966cf3
T t=59.2 bar=30 ph=4 the hand | render ms 47.74/47.77/47.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2947 cy/pump 42.26 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1416000 6495f6fb
T t=60.2 bar=31 ph=4 the hand | render ms 47.73/47.76/47.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2946 cy/pump 42.25 Mcy/s 1760 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1440000 3f5f9a21
T t=61.2 bar=31 ph=4 the hand | render ms 47.72/47.76/47.90 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.28 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1464000 444d7d03
PHRASE t=61.4 bar=32 ph=5 the hand | render ms 47.72/47.77/47.99 | fps 19.9 | hold 3 miss 306 late 306 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1464000 444d7d03
T t=62.2 bar=32 ph=5 the hand | render ms 47.72/47.77/47.91 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1488000 941943d6
